iter	MultiClass
0	1.676438192
1	1.406966616
2	1.224220029
3	1.087883238
4	0.9787213573
5	0.8944139182
6	0.8199148984
7	0.759942916
8	0.7082564421
9	0.6668570253
10	0.6266995948
11	0.5896385366
12	0.5591572062
13	0.5279547007
14	0.5047355567
15	0.4852268617
16	0.4631986114
17	0.4463391042
18	0.431585796
19	0.4102556959
20	0.3939866525
21	0.3814097801
22	0.3697955184
23	0.359647249
24	0.3510965825
25	0.3427349688
26	0.3342385629
27	0.3261674761
28	0.3167288841
29	0.3107362543
30	0.3053186889
31	0.2980397863
32	0.2935820072
33	0.2895356757
34	0.2855725326
35	0.2819991144
36	0.2772618394
37	0.2739263172
38	0.2698984437
39	0.265560561
40	0.2623543156
41	0.2593624647
42	0.2568150057
43	0.2546651231
44	0.2522035271
45	0.2497503438
46	0.2466951356
47	0.2450422455
48	0.2423507524
49	0.2410995023
