iter	Passed	Remaining
0	15398	754538
1	32128	771093
2	46166	723270
3	60330	693797
4	74717	672460
5	87977	645166
6	102393	628990
7	116900	613728
8	130619	595046
9	142988	571953
10	158286	561198
11	172099	544982
12	185508	527984
13	199207	512248
14	213600	498402
15	227338	483095
16	241773	469324
17	255953	455028
18	269615	439898
19	283469	425204
20	299133	413088
21	313415	398892
22	327778	384783
23	341967	370464
24	355865	355865
25	369557	341130
26	383796	326937
27	397598	312399
28	408704	295958
29	420217	280144
30	432247	264925
31	443538	249490
32	455128	234460
33	466198	219387
34	478905	205245
35	490582	190782
36	497092	174654
37	508324	160523
38	519811	146613
39	531116	132779
40	543242	119248
41	554491	105617
42	565333	92030
43	576329	78590
44	586918	65213
45	598528	52045
46	610127	38944
47	622105	25921
48	633861	12935
49	645509	0
